"iter","draw","step","prevalence_preclin","incidence_clin","stage_distr","tot_dist","n_good"
1,65,0,2.61455897241818,-10.877164202497,0.0286370766777628,11.1870210418366,2
1,66,0,2.92071348600223,-50.6331107089227,0.0173911080473773,50.7172827523318,2
1,67,0,1.85375866001175,-13.1454810332702,0.0607765257436216,13.2756840332887,2
1,68,0,0.596099969830122,-16.6800135721299,0.0795480091550902,16.6908512612817,2
1,69,0,0.47726000207408,-47.6878067510293,0.0514375659119883,47.6902226421337,2
1,70,0,1.18269817124754,-10.2378594336525,0.0141196565544204,10.3059565355284,2
1,71,0,2.18893937655583,-21.0760265833912,0.00269741644650536,21.1893926155071,2
1,72,0,2.06536394900786,-14.3685710144506,0.0154711799725661,14.5162598694216,2
1,73,0,3,-10001.5102228774,0.0280313130449959,10001.5106728487,2
1,74,0,2.80577076779039,-39.8567892018113,0.0066181203918923,39.9554256500732,2
1,75,0,1.61220557776725,-25.8857150150024,0.0139636176218859,25.9358756097712,2
1,76,0,2.69407456773131,-110.650473589283,0.0599382681769429,110.683282097637,2
1,77,0,2.4933052430358,-28.6639310137026,0.0161379909792602,28.7721701063372,2
1,78,0,2.27593049023932,-13.8741666238057,0.0459245529618999,14.0596752510892,2
1,79,0,2.65054345433556,-1024.91468935124,0.0221810598655764,1024.91811688571,2
1,80,0,1.74871035113801,-14.9699239315477,0.120629077896671,15.0721983062504,2
