"iter","draw","step","seed","d_time_H_P.cure_max","d_time_H_P.shape","d_time_H_P.scale","d_time_P1_P2.rate","hr_cancer.1","hr_cancer.2","diff_p_cancer.1","diff_p_cancer.2","sample_wt"
1,24,0,"10407_476284993_1965194452_-1973124138_-1748770303_-430666203_1091168957",0.0640538222142949,7.52517273994326,52.8375058088594,1.08633359082623,2.74540510599717,1.3415817248458,-0.0258861821660716,-0.0179594358878822,0
1,25,0,"10407_1605001126_120764038_482567672_-1501162601_-926274193_1657176290",0.0725668133147753,5.69645374500625,85.1849677103917,0.686371165234497,2.00474207899361,1.73812954727611,-0.116361290399951,-0.0397154342498538,0
1,26,0,"10407_993383597_405613403_1384579268_-1821631427_-1757674106_1444944233",0.077660727770401,9.77943294269414,107.730998499255,0.0930033946963565,1.65946942151661,2.62501016668355,-0.143208266539283,-0.00770359592916163,0
1,27,0,"10407_151956658_-408313109_1297303118_-192053134_2060536377_-493083348",0.086501932113525,10.1484622203642,46.5136648013445,1.85559003238033,2.07406171188599,1.30734702157425,-0.0231305424864178,0.0371150637324744,0
1,28,0,"10407_-1071780236_-632683642_-1279192442_673404045_527735528_1131464449",0.0823746303994961,7.07484486662753,66.2608832352347,0.472785507595693,1.24417832444343,0.893256810292349,-0.134550832488882,0.00475746775093798,0
1,29,0,"10407_-627068621_1308760183_1330043191_1373494797_17674591_-1288898325",0.0997629887323598,8.88236228495423,63.3776212359802,0.837306731892121,2.55119108939083,2.24490985691315,-0.0954417644684173,-0.0205405292688939,0
1,30,0,"10407_1323694405_-574464512_-1195460472_-1358316443_-1615189022_1483356315",0.0914688043434898,6.77417007859207,97.5389275011248,0.652537089065931,2.24229281811292,0.837811084629143,-0.0797219441000289,-0.0441225720438512,0
1,31,0,"10407_-20708810_-244344685_-116185546_779834202_1087512605_-2052500405",0.0936529085719504,11.2077750444135,95.7302446923252,1.59741252926264,2.99060978905894,2.13709659626063,-0.100611937844901,-0.0493340945750805,0
1,32,0,"10407_901720464_-1977054557_-1549080477_-1840618757_-1965212735_1881986641",0.0444441639043824,7.82478605753669,110.235051836141,1.36853632410521,1.32260843164551,1.18670003173666,-0.0215531783053445,-0.00585732897588155,0
1,33,0,"10407_1344404565_1089153512_1801846487_206110346_1219516868_1295074941",0.0854690254283038,5.00780802145938,102.633836940214,1.48294816763288,2.21440793124594,2.04835649357891,0.000174402943527272,0.0246972660113898,0
1,34,0,"10407_-186659694_2000421061_2143182476_-1097319430_-1016329229_175612651",0.0263503342482423,8.69170608418881,98.9955342163656,0.581804295066609,0.885690497570292,2.7454003024947,-0.143593073572349,-0.0142493169170008,0
1,35,0,"10407_-1001568860_12451136_-202344976_-1230113531_808039317_-1506282",0.0957039254581128,5.85638484871727,97.2732913993308,1.25898853466808,1.2785040903729,0.983784829880692,-0.0172525390603761,-0.000599257297789563,0
1,36,0,"10407_-390329258_2136124733_617482536_367134549_-200890568_1429535209",0.0845244834723632,13.5180387493816,54.4929813530929,1.41912275768643,1.93057187323871,2.98539148861546,-0.00497109645732867,0.0488149773323129,0
1,37,0,"10407_-2031412869_1781438677_-1272036630_-679447577_39766352_778651118",0.0411853929989882,10.0283120849903,67.8490672230495,1.9904292667136,2.62630169921514,1.19933342026956,-0.133051822161192,-0.0293299713307372,0
1,38,0,"10407_-155785877_-1285121498_1635308575_-631555864_-1794633597_-414514247",0.0892685348139739,6.60327730416241,88.5559833403798,1.02800961381255,1.06264156620733,1.61885707318021,-0.0473585524584816,-0.0108125871027629,0
1,39,0,"10407_-774053526_488429441_-13538375_971492967_1812117314_1263771119",0.0333719469004695,6.84039025192549,96.2427977766979,1.17674572775431,2.43148598958397,1.41847232809634,-0.112144290523083,0.0443002350548513,0
1,40,0,"10407_-638530706_-195962769_-809729706_744349652_-1890277018_1974751781",0.0553725866893069,12.8517459904535,80.9752118029111,1.79249299173719,1.60205186671939,2.96485668604499,0.0201481029233093,-0.0223420887887838,0
1,41,0,"10407_-1316255294_1960267639_-1433043838_968904431_-1519340517_1042699747",0.02818467001254,12.0047056335167,67.0092385872557,1.50254441358626,1.43116039889896,2.77119994960512,-0.0548964529564167,-0.00176085732790137,0
1,42,0,"10407_-1923215357_1956457584_1198738300_-1785715394_1661363422_-472131671",0.0734419076361034,5.46737983983696,45.2816156229258,0.254477720354507,1.50928567029307,2.71940655215098,-0.0878364217891883,0.00629076066886266,0
1,43,0,"10407_1067455294_-2114553526_-122346932_375634128_490621513_-409745393",0.0583258358353688,6.54683222796501,50.3943832986848,1.57268397831318,2.81617344167964,1.78009165391362,-0.109567656941903,-0.0277643920367685,0
1,44,0,"10407_1338627053_-1859863254_-279902089_-123900818_-41113361_-1802374502",0.0317261568415073,13.1218974804369,113.247797263825,0.316088951476326,2.91736735481447,0.911763512706515,-0.0826602165528631,0.00522796983013808,0
