"iter","draw","step","prev_30_40","prev_40_50","prev_50_60","prev_60_70","prev_70_80","prev_80_100","inc_cancer_30_40","inc_cancer_40_50","inc_cancer_50_60","inc_cancer_60_70","inc_cancer_70_80","inc_cancer_80_100","stage_1","stage_2"
1,35,0,0.0488435538433424,0.0672386275696784,0.0860510768251404,0.105237741875233,0.123902091450867,0.142975122860788,328.544284958068,466.127853484594,614.538517174204,747.471022267941,875.236711692868,1024.61572021215,0.30259272596327,0.69740727403673
1,36,0,0.0483340494156428,0.0704298756680616,0.0944113401592054,0.119790431978086,0.145762692321663,0.17213453202784,332.250663703201,498.552135691939,678.220132168944,839.809717626257,1009.19301436483,1190.75210541883,0.359022056869519,0.640977943130481
1,37,0,0.0889263136144416,0.121190293836646,0.152364416765464,0.185098375230985,0.211079529674167,0.241095774153708,516.905895999336,728.660280532006,916.497321297955,1088.44223770126,1259.64512303993,1387.3642959955,0.303178358362477,0.696821641637523
1,38,0,0.0206266790183905,0.0369524025661236,0.0561891486007314,0.079808949383326,0.106986579682222,0.141489459813084,140.2226248849,252.687631430339,399.264948068824,580.619861417199,771.620209918815,1011.50575415473,0.39984042287937,0.60015957712063
1,39,0,0.0726005478683794,0.118699288439636,0.170689880041648,0.229655070000506,0.287647884106324,0.352782246547373,441.67041617528,746.45103448466,1079.65331388427,1410.23743666899,1731.28542364487,2095.45417421904,0.399421029837478,0.600578970162522
1,40,0,0.145084171505397,0.216239972204117,0.29220035480856,0.367296807219872,0.440353170963652,0.513736765370992,545.423163844779,873.987416834495,1159.06486625752,1461.45832940457,1720.13380892966,1978.67206089327,0.260952007323133,0.739047992676867
1,41,0,0.0882355698426582,0.147871104352278,0.218400644375626,0.292654518383303,0.367545982077505,0.447282070462411,530.357070140306,949.525162095628,1431.53006394474,1922.23925461839,2420.55284772166,2764.56498150503,0.323886791041986,0.676113208958014
1,42,0,0.0356165312855518,0.0632359396084766,0.0987335177832018,0.140263014142323,0.188068792860515,0.243557157691757,198.841770806731,366.956741424712,580.902031619907,847.298833516443,1107.39536040928,1424.75771028896,0.35466589444726,0.64533410555274
1,43,0,0.0831176868333147,0.140354255066506,0.207453213663585,0.281807784517586,0.35776386149578,0.439547682057547,474.669884887511,837.611915619367,1241.39396583759,1650.76202562038,2049.15828447516,2400.13526243109,0.43366478728857,0.56633521271143
1,44,0,0.110399692466617,0.141535414485716,0.170426980437932,0.199288067805123,0.221121348282569,0.244410933934181,515.499527467078,677.471687634021,828.259708660769,939.851906525423,1060.26286706896,1181.42942840868,0.296633202063342,0.703366797936658
