"iter","draw","step","Prevalence.of.precancerous.lesion","Cancer.incidence","Stage.at.diagnosis","tot_dist","n_good"
1,38,0,-3.27122760200794,-2.36256461205291,-0.0312950626966848,4.035296885139,0
1,39,0,-0.439527145058522,0.100321657018227,-0.0308115449371504,0.451882614637465,1
1,40,0,-0.483022050119414,0.01244595466286,-0.0769681489889933,0.489274257086783,1
1,41,0,-0.201637591219787,-0.629096782361684,-0.00512046395117195,0.660641127180119,0
1,42,0,-1.83616239943901,-1.35089951232869,0.000848440234461823,2.27956631168613,1
1,43,0,-0.23521357422956,0.200660181985223,-0.0826857263345431,0.320041971428215,1
1,44,0,-0.456640466289435,-0.527767909190644,-0.025827728532109,0.698374221306618,0
1,45,0,-0.561881005591645,-0.486377474173211,0.000347598519211932,0.74315101604756,1
1,46,0,-1.0223452082202,-1.56315222976508,-0.0265730116951311,1.86797771484054,0
1,47,0,-0.732607102560578,-0.353335778986295,-0.0513449755733162,0.814981991181819,0
1,48,0,-0.275842242604426,-0.904267727227521,0.000119450380602497,0.945404188471079,1
1,49,0,0.0383330644924943,-0.317202064564719,-0.0080416566139948,0.319611079029816,1
1,50,0,-0.159670504182079,-0.444578450666797,-0.101718027059159,0.483209298060226,0
1,51,0,-2.11216827883775,-1.85235143669359,0.0000000405858337100146,2.80935236009106,1
1,52,0,-0.312213087389592,-0.336081008158396,-0.0547103870422145,0.461974763847999,0
1,53,0,-0.110766593891191,0.244647389866554,-0.0115983383464581,0.268804957437865,1
1,54,0,-2.14924181755153,-0.733053968485347,-0.111974077215555,2.27357575307985,0
1,55,0,-1.44232608560013,-1.74577524871295,-0.201461915041836,2.27346050316114,0
1,56,0,-1.48500825503401,-0.607832878307556,-0.0425740634019639,1.6051550941717,0
1,57,0,-1.57638707192924,0.376794897525965,-0.0172090894367564,1.62088455730397,1
1,58,0,-0.349972708134698,-0.230952541085749,-0.00624724820708093,0.419355458749806,0
1,59,0,-3.17052510856726,-0.9371831528423,0.000144311499774371,3.30613698246952,1
1,60,0,-1.32484075289095,-0.682616413389688,-0.0627524552131738,1.49167893964651,0
1,61,0,-2.82110390446332,-1.90980428300609,-0.162998609408822,3.41065216429876,0
1,62,0,-2.46043695441825,-2.18785419473186,-0.171181873477426,3.29693178847849,0
1,63,0,-0.775886780333406,-1.07282523014993,-0.046821699198249,1.32481943745486,0
1,64,0,-0.671573220456436,-1.1463702163893,0.00179109210592764,1.32860019248441,1
1,65,0,-0.140149207521129,0.278869602437076,-0.162936713405388,0.352077304164246,1
1,66,0,-0.52643064557229,-0.309678340594768,-0.0215237072123593,0.61114087508802,0
1,67,0,-1.90420751285547,-4.59634213956038,-0.0307652175313714,4.97527022527656,0
1,68,0,-1.55603185540514,-0.60028517704674,-0.0230820275379083,1.66796588958314,0
1,69,0,-1.03474132748493,-1.02840046027338,-0.00940366117872352,1.45889874574603,0
1,70,0,-1.67054444714663,-1.36530411457091,-0.025513275625835,2.15764339092211,0
1,71,0,-1.21239230619513,-1.41932862341719,-0.0678954459994675,1.8678861413266,0
